Setup title,"Diode IV Rev"
Application test name,"Diode IV Rev"
Test date,10/17/2019
Test time,14:44:30
Device ID,
Count,3
Flags,
Remarks,
Name,Anode,Cathode,VanodeStart,VanodeStop,VanodeStep,Vcathode,IanodeLimit,IntegTime,HoldTime,DelayTime,AnodeMinRng
Value,"SMU3:MP	MPSMU","SMU4:MP	MPSMU",0,-10,-0.1,0,-5E-05,LONG,0,0,1nA
Name,Temp
Value,25
Vanode,Ianode
0,9.3811E-09
-0.1,-3.28372E-06
-0.2,-4.48707E-06
-0.3,-5.1705E-06
-0.4,-5.704E-06
-0.5,-6.13997E-06
-0.6,-6.51597E-06
-0.7,-6.81789E-06
-0.8,-7.02755E-06
-0.9,-7.28791E-06
-1,-7.49978E-06
-1.1,-7.7169E-06
-1.2,-7.93377E-06
-1.3,-8.08299E-06
-1.4,-8.25544E-06
-1.5,-8.43727E-06
-1.6,-8.5737E-06
-1.7,-8.67775E-06
-1.8,-8.93156E-06
-1.9,-9.16373E-06
-2,-9.2982E-06
-2.1,-9.33308E-06
-2.2,-9.34034E-06
-2.3,-9.42217E-06
-2.4,-9.49389E-06
-2.5,-9.4738E-06
-2.6,-9.48459E-06
-2.7,-9.52826E-06
-2.8,-9.52295E-06
-2.9,-9.61674E-06
-3,-9.6129E-06
-3.1,-9.6656E-06
-3.2,-9.70201E-06
-3.3,-9.77088E-06
-3.4,-9.80791E-06
-3.5,-9.83183E-06
-3.6,-9.83385E-06
-3.7,-9.76998E-06
-3.8,-9.78521E-06
-3.9,-9.81802E-06
-4,-9.83861E-06
-4.1,-9.92555E-06
-4.2,-9.93105E-06
-4.3,-9.98838E-06
-4.4,-1.003625E-05
-4.5,-1.006982E-05
-4.6,-1.019091E-05
-4.7,-1.026749E-05
-4.8,-1.038781E-05
-4.9,-1.044047E-05
-5,-1.052239E-05
-5.1,-1.063811E-05
-5.2,-1.068508E-05
-5.3,-1.075918E-05
-5.4,-1.08092E-05
-5.5,-1.07834E-05
-5.6,-1.07705E-05
-5.7,-1.08069E-05
-5.8,-1.08713E-05
-5.9,-1.09145E-05
-6,-1.0998E-05
-6.1,-1.11199E-05
-6.2,-1.12076E-05
-6.3,-1.11548E-05
-6.4,-1.10531E-05
-6.5,-1.09984E-05
-6.6,-1.10093E-05
-6.7,-1.09996E-05
-6.8,-1.10159E-05
-6.9,-1.1E-05
-7,-1.10479E-05
-7.1,-1.10607E-05
-7.2,-1.09875E-05
-7.3,-1.10411E-05
-7.4,-1.10137E-05
-7.5,-1.10251E-05
-7.6,-1.107E-05
-7.7,-1.09425E-05
-7.8,-1.08752E-05
-7.9,-1.07955E-05
-8,-1.08183E-05
-8.1,-1.08234E-05
-8.2,-1.07806E-05
-8.3,-1.0795E-05
-8.4,-1.08E-05
-8.5,-1.08235E-05
-8.6,-1.08095E-05
-8.7,-1.0846E-05
-8.8,-1.08852E-05
-8.9,-1.09747E-05
-9,-1.09723E-05
-9.1,-1.09678E-05
-9.2,-1.09914E-05
-9.3,-1.10051E-05
-9.4,-1.10455E-05
-9.5,-1.10008E-05
-9.6,-1.11297E-05
-9.7,-1.12397E-05
-9.8,-1.12968E-05
-9.9,-1.12843E-05
-10,-1.13333E-05
